,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
120,4eDE92gbf1iKImxBIKS64V,0.747,0.801,2,-5.826,0.334,0.0287,2.97e-05,0.441,0.707,167.077
121,7floNISpH8VF4z4459Qo18,0.763,0.726,1,-6.405,0.282,0.259,0.0,0.0976,0.349,139.059
122,77lUHCd0dxdZb1PYtIKg0A,0.49,0.769,2,-5.833,0.378,0.057,0.00409,0.4,0.441,107.139
123,3vefdW0Zsk57Qn0qxXeVCI,0.491,0.908,7,-4.659,0.172,6.89e-05,0.0,0.101,0.207,125.997
124,5Z8h5Uh2f7KI35PT88fUuw,0.552,0.56,0,1.26,0.0584,0.000165,0.839,0.257,0.0946,129.812
125,4FjgQ384dfy2QMvhwgflDU,0.527,0.79,8,-5.737,0.41,0.0187,0.0,0.107,0.627,75.409
126,6Js9pKLTyVw7xZQ1MIjkVo,0.77,0.892,6,-4.724,0.22,0.137,0.0,0.109,0.84,91.123
127,6YNh2sMxv2v09rfxiPjgcW,0.83,0.95,11,-1.272,0.392,0.404,1.41e-06,0.48,0.808,89.972
128,5cewkgO2VLcstqxBFALTUt,0.557,0.995,10,-0.618,0.281,0.0538,1.77e-05,0.335,0.348,169.992
129,5erLs80hB2TbFWgSAbVQpe,0.713,0.681,11,-7.645,0.351,0.00286,0.0,0.291,0.635,159.107
130,1aFP0G0GHQAAH9gfC95wT1,0.763,0.805,1,-2.694,0.395,0.0228,0.000154,0.0776,0.402,167.978
131,4IsGyiqbwHQUaFeGIRzxyy,0.495,0.706,1,-8.103,0.228,0.0892,0.0389,0.189,0.642,182.768
132,6Rg3DZgkBHUL2s7rgNRsUZ,0.637,0.724,1,-6.315,0.143,0.00913,0.0,0.411,0.599,90.016
133,4UBjhRtcV2nZBjibGP7yUe,0.664,0.583,1,-6.374,0.222,0.0765,0.0,0.318,0.24,160.115
134,3JBvJ9PwrYA1oeUzI3FMRI,0.73,0.772,5,-3.883,0.316,0.0878,0.0,0.401,0.403,147.053
135,6ZRxnIHvjN0qTVRwz3PLtO,0.641,0.598,4,-8.485,0.0426,0.000586,0.863,0.121,0.161,109.999
136,0j2T0R9dR9qdJYsB7ciXhf,0.617,0.717,10,-7.858,0.153,0.00564,0.0,0.408,0.49,103.992
137,0A8Mrg7ButLr17K3A0R61D,0.757,0.423,1,-2.311,0.0527,4.15e-06,0.897,0.118,0.125,130.058
138,5FX30idriKlEIRYTxpNf65,0.656,0.964,6,-2.087,0.0964,0.123,0.813,0.78,0.965,114.007
139,75tFBhZ34HNOiPder8VFYt,0.782,0.794,1,-5.789,0.291,0.0416,0.0,0.199,0.755,138.965
140,550JPXXPgjr1xqxtKIaX6b,0.699,0.793,1,-4.856,0.268,0.00514,2.75e-06,0.7,0.929,94.138
141,2iWEpiPiIPf5D4f2UGBlrZ,0.865,0.624,8,-8.224,0.103,0.033,0.0,0.0984,0.396,94.94
142,577YBGuskWkVDCxZrLRB4v,0.964,0.487,10,-6.071,0.421,0.00127,6.57e-06,0.115,0.107,127.05
143,2gpziaWfSOC0KD6JHVVxad,0.675,0.873,2,-1.888,0.149,0.0325,0.595,0.293,0.49,117.483
144,6Rtug7pmJtXarD0fTtRlt0,0.901,0.65,2,-4.137,0.0981,0.0038,0.0,0.111,0.295,100.298
145,46OkOaarmTsAQQFfZSsruW,0.344,0.309,4,-9.26,0.0545,0.0444,0.0111,0.0929,0.0398,97.899
146,5xjBjhBgqR9lJguneF01jQ,0.696,0.426,1,-11.073,0.047,0.00474,0.319,0.0481,0.102,120.016
147,2gQYziDV5cSTRSqr6akzi5,0.8,0.591,6,-8.808,0.271,0.111,0.0,0.429,0.747,117.003
148,7uF1nTuJRGUlZzODPcmPva,0.214,0.703,7,-9.558,0.0487,0.00141,0.928,0.0572,0.0786,101.921
149,7gQlGAb4BDWWXahEONVjVn,0.6,0.856,9,-6.793,0.412,0.0396,0.000145,0.775,0.318,87.005
150,3VJlUfZfxrRDw1qACeEUKe,0.65,0.898,8,-6.003,0.454,0.251,0.00024,0.135,0.378,179.878
151,4IO8X9W69dIQe0EC5ALXhq,0.741,0.87,6,-3.494,0.503,0.00813,0.0,0.114,0.663,184.194
152,1ZHYJ2Wwgxes4m8Ba88PeK,0.628,0.692,2,-5.64,0.202,0.00244,0.0129,0.668,0.0963,124.887
153,3gntlMjzCV42fREUUbOHCN,0.783,0.662,3,-9.491,0.409,0.617,0.0,0.101,0.458,145.88
